trader_id,age,prior_experience_years,starting_capital,account_age_months,instrument,market_regime,broker_cost_bps,risk_per_trade_pct,avg_leverage,trades_per_month,uses_stop_loss,avg_win_hold_days,avg_loss_hold_days,diversification,journals_trades,revenge_trading,overconfidence,follows_plan,chases_volatility,position_sizing_discipline,net_return_pct,profitable,blew_up
TRD000073,32,3.3,5390.0,71,forex,choppy,6.6,1.36,10.8,18,1,10.1,15.2,3.9,1,6.6,0.0,5.3,5.4,8.4,-40.0,0,1
TRD000074,31,3.3,10870.0,55,stocks,bear,8.9,1.6,4.5,55,0,5.8,9.1,0.0,0,4.2,6.4,6.6,7.8,7.9,-20.1,0,0
TRD000075,27,1.9,11050.0,5,stocks,bear,2.6,3.07,1.0,56,1,0.1,0.2,5.2,0,2.9,4.2,8.0,4.4,5.8,-25.7,0,0
TRD000076,45,7.0,950.0,8,stocks,bull,30.1,2.07,1.0,5,1,4.6,11.5,6.7,0,7.8,3.0,5.3,5.5,7.1,-40.0,0,1
TRD000077,41,2.2,4950.0,10,crypto,bull,5.5,3.35,2.4,75,1,14.8,26.6,1.8,0,5.5,1.5,4.3,6.3,7.7,-32.4,0,0
TRD000078,47,1.8,7630.0,22,stocks,choppy,8.9,0.12,3.0,26,1,6.1,14.9,3.7,0,6.7,9.3,8.3,7.8,6.5,-18.4,0,0
TRD000079,56,1.0,1400.0,8,options,bear,16.1,1.65,20.2,37,0,0.2,0.3,1.8,2,1.9,8.6,7.4,10.0,9.7,-40.0,0,1
TRD000080,21,1.0,28340.0,46,options,bull,0.9,4.35,13.8,23,0,4.4,5.5,0.0,0,6.8,10.0,7.9,7.5,9.4,-3.4,0,0
TRD000081,37,0.3,4550.0,12,etf,choppy,1.2,4.53,3.2,25,0,2.3,5.0,6.1,0,3.7,5.0,7.4,5.4,5.6,-40.0,0,1
TRD000082,44,2.7,40570.0,14,stocks,choppy,28.5,4.22,1.6,19,1,1.4,3.2,2.0,0,4.9,2.5,5.2,5.8,7.6,-6.6,0,0
TRD000083,23,3.9,6080.0,28,forex,choppy,6.8,2.53,6.0,97,1,6.6,13.4,7.5,0,5.7,4.5,6.5,5.5,6.3,-3.4,0,0
TRD000084,27,1.8,4670.0,6,forex,choppy,11.6,2.06,6.1,3,1,7.2,17.8,9.2,0,7.9,5.3,3.7,10.0,4.0,25.8,1,0
TRD000085,18,7.3,29240.0,14,futures,bear,2.1,1.72,3.8,15,1,4.4,6.3,0.4,0,7.8,6.3,5.6,10.0,5.7,-40.0,0,1
TRD000086,32,0.9,23770.0,40,forex,bear,10.9,0.56,13.2,26,1,3.4,8.6,0.0,0,4.3,2.2,7.9,7.4,9.9,21.5,1,0
TRD000087,24,0.7,5720.0,9,forex,bear,25.8,1.7,18.4,49,0,12.6,16.9,4.6,0,2.9,9.6,7.0,9.3,10.0,-40.0,0,1
TRD000088,28,1.2,4060.0,19,options,choppy,19.5,2.22,5.3,35,0,4.6,8.8,4.5,0,5.7,2.2,4.6,1.7,10.0,-4.9,0,0
TRD000089,27,2.6,6720.0,15,futures,choppy,18.2,2.4,3.7,13,1,5.3,5.6,6.3,1,6.8,5.2,3.8,4.5,8.2,-3.9,0,0
TRD000090,37,1.7,990.0,11,forex,bull,2.3,2.37,9.7,15,1,5.5,13.8,0.7,0,5.5,3.9,3.7,5.6,6.1,-19.9,0,0
TRD000091,43,0.0,890.0,40,crypto,choppy,13.6,5.46,19.6,44,1,1.8,2.1,5.7,1,9.8,1.7,2.7,3.6,8.1,24.9,1,0
TRD000092,47,2.0,10370.0,31,forex,bull,21.4,3.14,3.5,27,1,5.6,8.1,0.0,2,0.0,5.3,6.4,7.1,10.0,-40.0,0,1
TRD000093,38,3.9,7650.0,38,stocks,bull,10.1,0.28,1.0,13,0,8.0,11.2,4.0,0,2.7,10.0,6.9,7.3,7.4,10.3,1,0
TRD000094,23,1.8,8690.0,24,stocks,choppy,2.2,0.93,1.2,29,0,8.2,9.1,2.8,0,6.8,7.9,0.9,5.5,3.7,-1.1,0,0
TRD000095,27,2.6,1960.0,20,stocks,bull,4.3,2.19,2.9,30,1,16.1,18.4,5.2,0,5.1,3.4,7.9,4.0,10.0,19.7,1,0
TRD000096,21,2.1,1830.0,10,etf,bull,5.1,1.2,1.3,87,0,4.9,11.5,6.5,2,0.3,4.5,7.5,8.5,10.0,-2.5,0,0
TRD000097,28,2.0,1660.0,18,forex,bull,3.8,1.38,9.8,107,1,6.4,8.9,2.2,0,2.5,4.8,3.3,9.3,9.0,-40.0,0,1
TRD000098,59,2.9,16870.0,9,options,choppy,8.5,1.86,8.3,32,1,9.7,12.4,3.3,0,8.3,4.7,7.1,9.5,10.0,-40.0,0,1
TRD000099,31,0.5,18550.0,4,forex,bull,28.8,1.28,11.9,42,1,4.5,8.7,7.5,1,2.6,3.0,4.3,6.0,9.7,-40.0,0,1
TRD000100,41,1.7,11060.0,7,stocks,bull,9.7,3.41,1.6,68,0,19.8,38.4,5.6,1,9.2,5.0,9.7,3.7,10.0,-13.0,0,0
TRD000101,44,1.1,9290.0,9,crypto,bull,5.9,3.12,2.9,16,1,10.8,17.4,0.6,2,7.5,10.0,4.8,9.8,10.0,-19.5,0,0
TRD000102,33,2.2,1610.0,39,options,bull,20.7,1.52,7.8,76,1,2.6,6.7,4.8,2,5.2,6.6,10.0,5.6,10.0,-5.7,0,0
TRD000103,40,2.4,16330.0,17,etf,choppy,25.1,1.96,3.8,38,1,9.7,23.3,0.8,0,8.1,5.0,2.8,10.0,2.1,-40.0,0,1
TRD000104,44,4.9,2970.0,16,etf,bear,8.4,2.48,1.0,19,1,4.1,8.5,3.5,0,6.2,3.4,3.1,10.0,1.5,-40.0,0,1
TRD000105,18,0.5,52430.0,37,futures,bull,7.5,2.38,8.4,1,0,2.7,6.7,5.8,0,4.2,9.1,3.4,10.0,4.7,-40.0,0,1
TRD000106,46,1.0,9300.0,27,stocks,choppy,25.4,2.24,1.7,27,0,6.2,14.9,2.4,1,4.6,1.1,5.6,2.3,9.1,-5.5,0,0
TRD000107,37,1.5,7980.0,6,futures,bull,13.1,3.67,5.4,16,1,4.5,9.5,4.1,1,0.0,7.3,4.3,7.7,8.0,-40.0,0,1
TRD000108,34,5.4,810.0,43,etf,bull,17.5,1.42,1.6,13,1,8.3,21.4,2.1,0,1.8,8.0,5.0,4.7,4.6,22.3,1,0
TRD000109,23,0.9,13460.0,16,options,bear,18.5,1.14,2.1,18,0,6.2,10.1,6.6,0,2.6,7.4,6.2,10.0,10.0,14.6,1,0
TRD000110,38,5.2,540.0,1,forex,bull,7.0,0.4,2.3,30,1,0.2,0.4,5.3,0,0.0,6.7,3.5,6.3,6.9,-40.0,0,1
TRD000111,18,1.4,4920.0,26,crypto,bear,14.2,2.52,10.3,13,1,7.6,10.9,3.0,0,6.9,4.4,6.5,9.1,7.2,-40.0,0,1
TRD000112,28,1.4,8020.0,3,options,choppy,12.7,1.24,12.6,35,1,2.9,3.7,5.7,1,4.0,7.1,6.3,8.3,5.2,-2.0,0,0
TRD000113,18,0.3,5400.0,9,forex,bull,5.6,0.58,8.7,24,1,3.7,9.4,3.5,0,5.7,5.1,6.2,8.9,9.5,-2.4,0,0
TRD000114,21,1.2,30150.0,4,etf,bear,8.1,0.8,1.7,96,0,1.1,1.8,5.4,0,6.3,5.5,1.8,6.4,2.6,-40.0,0,1
TRD000115,21,3.3,1270.0,7,stocks,choppy,8.7,2.4,2.1,31,0,2.9,3.2,2.6,0,3.6,9.3,10.0,8.5,7.4,-40.0,0,1
TRD000116,18,4.0,8770.0,47,options,bull,24.9,2.96,22.3,31,1,2.8,2.9,4.5,0,5.6,3.3,4.8,4.3,9.6,-40.0,0,1
TRD000117,38,2.9,8200.0,1,forex,bull,5.5,0.79,5.9,41,0,7.9,17.8,2.3,2,1.2,3.5,2.4,2.0,9.4,-14.2,0,0
TRD000118,39,8.4,390.0,34,futures,choppy,13.4,1.38,3.7,17,1,18.4,38.3,5.4,1,6.9,2.8,6.1,6.2,8.5,-27.5,0,0
TRD000119,47,1.1,2130.0,20,crypto,bull,4.4,1.01,11.5,32,1,9.2,19.7,7.6,2,2.8,0.0,4.9,6.1,7.7,-13.6,0,0
TRD000120,45,9.4,10110.0,8,stocks,bull,7.4,1.81,1.3,39,1,10.7,20.0,3.0,1,8.6,4.7,8.0,5.2,10.0,-9.4,0,0
TRD000121,24,1.8,16150.0,29,forex,choppy,9.5,1.64,8.9,29,1,0.4,0.4,4.2,0,4.5,2.3,5.0,9.4,6.4,-15.5,0,0
TRD000122,32,1.3,14560.0,8,stocks,bull,4.5,2.18,1.4,44,0,4.6,10.7,1.9,0,5.4,4.9,3.2,5.0,4.7,-40.0,0,1
TRD000123,27,1.2,3130.0,8,forex,bull,8.7,1.67,8.8,16,1,1.2,1.4,5.8,1,6.4,6.5,2.7,8.4,5.5,4.3,1,0
TRD000124,18,4.2,7440.0,9,stocks,bull,6.2,2.89,1.7,26,0,5.2,11.9,0.7,0,8.0,5.2,2.8,5.4,5.0,-40.0,0,1
TRD000125,35,0.7,11440.0,23,forex,bear,17.4,7.45,23.5,4,1,1.0,1.7,2.9,2,4.0,1.9,3.3,4.0,3.4,-44.2,0,1
TRD000126,32,6.3,13660.0,13,etf,choppy,6.2,1.2,2.0,42,1,2.9,7.3,3.2,0,8.3,6.3,7.1,6.8,5.6,32.5,1,0
TRD000127,41,1.8,2110.0,8,etf,choppy,4.7,1.95,1.4,38,1,5.7,8.0,0.7,1,6.7,4.7,3.5,8.3,5.8,39.0,1,0
TRD000128,26,4.5,1690.0,14,crypto,choppy,8.3,4.05,14.8,6,0,5.4,11.6,2.4,0,8.2,5.7,4.1,10.0,5.7,-40.0,0,1
TRD000129,28,0.2,6820.0,20,options,bear,2.7,1.7,13.2,134,1,5.8,11.7,5.0,0,7.0,7.5,3.4,9.2,3.8,-40.0,0,1
TRD000130,24,4.3,12220.0,11,forex,choppy,0.5,1.34,7.0,10,0,2.4,5.7,1.4,2,5.0,8.0,4.5,7.6,10.0,-7.2,0,0
TRD000131,43,2.4,6000.0,20,etf,bull,5.7,2.27,1.9,28,0,1.7,4.3,3.3,1,6.3,3.9,4.2,7.3,3.4,3.5,1,0
TRD000132,32,6.1,33760.0,14,stocks,bear,12.3,1.26,1.0,26,0,12.8,31.2,1.3,0,5.3,6.5,1.1,7.6,4.5,-40.0,0,1
TRD000133,31,1.1,810.0,5,forex,bull,24.5,2.02,10.5,14,1,9.8,15.2,3.2,1,5.1,5.8,3.9,3.5,5.2,-40.0,0,1
TRD000134,35,7.1,2090.0,26,etf,bull,34.8,1.13,2.2,21,1,5.4,13.0,6.1,0,3.5,2.8,6.3,7.7,7.9,-13.3,0,0
TRD000135,32,0.3,19450.0,7,crypto,bear,13.3,2.71,7.0,13,0,6.3,12.2,1.9,1,2.5,4.2,5.8,5.6,7.4,-4.4,0,0
TRD000136,42,6.7,5200.0,10,forex,bull,9.3,3.76,12.1,25,0,6.5,13.8,4.7,2,4.7,3.0,9.9,8.5,6.6,-40.0,0,1
TRD000137,36,2.0,8260.0,1,futures,choppy,6.8,0.55,15.7,51,0,5.2,10.9,5.6,0,3.9,7.0,6.5,9.9,8.6,15.2,1,0
TRD000138,22,2.8,5220.0,28,forex,choppy,2.5,1.37,17.8,85,1,5.9,13.7,3.3,0,1.6,4.9,6.4,8.8,7.0,-42.6,0,0
TRD000139,42,1.6,4230.0,18,stocks,bull,28.6,1.56,2.2,32,1,2.7,3.9,3.2,0,9.8,4.7,7.0,5.7,7.5,-2.9,0,0
TRD000140,18,1.4,200.0,21,options,choppy,17.5,2.09,2.9,98,1,18.1,27.8,4.5,0,4.9,8.5,5.9,7.5,8.5,-40.0,0,1
TRD000141,24,4.7,10320.0,23,stocks,bull,6.5,1.32,2.6,16,0,2.4,5.5,4.5,2,3.9,8.2,5.9,6.4,4.6,-40.0,0,1
TRD000142,22,3.0,3550.0,20,crypto,bear,7.6,4.51,10.5,22,0,7.3,18.0,8.2,0,6.2,10.0,7.3,7.7,10.0,-40.0,0,1
TRD000143,53,2.4,20480.0,8,futures,bull,11.4,3.93,3.7,14,0,5.9,6.4,4.4,0,5.7,5.7,8.6,7.0,8.5,-10.2,0,0
TRD000144,32,0.0,5470.0,22,crypto,bull,18.1,0.73,7.9,10,1,2.0,4.6,2.3,1,3.2,3.8,6.9,5.9,5.5,-40.0,0,1
TRD000145,31,3.4,32310.0,17,stocks,choppy,1.4,1.92,2.9,51,0,5.8,6.1,2.3,2,4.9,8.4,3.4,10.0,5.6,-40.0,0,1
TRD000146,30,0.5,2100.0,20,stocks,choppy,30.1,0.35,5.3,6,0,2.6,3.5,6.2,0,9.4,5.5,5.8,7.0,10.0,-40.0,0,1
TRD000147,59,5.6,3510.0,3,options,bear,8.7,1.58,11.6,64,0,8.8,13.6,3.9,0,5.4,2.2,4.5,4.7,6.7,-40.0,0,1
TRD000148,27,0.7,8530.0,8,stocks,bear,29.5,1.71,2.0,26,1,1.7,3.9,6.4,1,9.6,5.0,4.6,9.1,6.3,-40.0,0,1
TRD000149,29,0.4,860.0,5,crypto,bull,6.5,1.29,20.5,67,0,7.9,19.5,2.8,0,3.5,3.4,6.0,5.7,9.4,-40.0,0,1
TRD000150,40,4.4,2480.0,21,stocks,bear,16.6,0.62,4.7,36,0,9.1,15.0,2.1,0,3.3,5.4,1.5,8.1,5.4,-40.0,0,1
TRD000151,35,7.0,8560.0,27,stocks,choppy,27.7,0.78,1.0,40,0,3.3,3.4,7.2,2,3.3,4.5,7.6,7.0,5.3,-10.8,0,0
TRD000152,37,0.7,3000.0,35,stocks,bull,35.9,1.25,2.0,66,1,17.6,41.4,3.2,0,6.8,5.4,4.4,7.7,7.3,-28.6,0,0
TRD000153,26,1.8,1190.0,2,forex,choppy,19.9,1.57,3.8,18,1,6.9,17.5,2.9,0,6.4,4.8,4.4,8.7,1.8,-40.0,0,1
TRD000154,18,1.3,3840.0,12,options,choppy,15.4,2.1,5.5,3,0,4.6,7.2,0.8,0,7.3,2.4,3.7,7.2,2.2,0.1,1,0
TRD000155,28,1.0,8130.0,5,stocks,bull,17.1,0.82,3.3,37,1,3.9,8.0,6.3,0,7.0,3.4,2.1,6.9,10.0,10.0,1,0
TRD000156,36,2.5,9220.0,14,forex,bull,3.5,3.01,2.0,79,1,2.5,4.3,4.0,1,3.4,6.3,3.5,3.8,6.5,24.1,1,0
TRD000157,24,2.5,4160.0,65,stocks,bull,2.7,1.75,1.0,31,1,13.0,14.9,2.8,1,1.9,4.9,5.7,10.0,3.8,-30.0,0,0
TRD000158,46,1.4,10360.0,8,stocks,bull,0.8,3.95,1.0,17,1,4.0,6.5,5.0,0,5.0,4.9,5.1,7.9,10.0,-9.4,0,0
TRD000159,21,1.3,3450.0,35,stocks,bull,2.6,7.92,1.0,55,1,9.4,14.4,9.7,2,2.5,3.2,3.0,7.2,8.2,-40.0,0,1
TRD000160,45,0.8,2870.0,3,options,bull,27.1,2.0,7.6,17,1,15.3,15.6,1.8,1,3.7,3.0,3.9,10.0,7.1,-40.0,0,1
